"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2026","100.310","100.090","100.312","99.655","119.15K","0.26%"
"05/31/2026","100.051","98.870","100.095","98.870","125.59K","1.21%"
"05/24/2026","98.852","99.070","99.500","98.695","91.02K","-0.34%"
"05/17/2026","99.186","99.215","99.570","98.865","127.57K","-0.02%"
"05/10/2026","99.208","97.850","99.245","97.720","105.58K","1.46%"
"05/03/2026","97.784","98.000","98.445","97.470","107.46K","-0.23%"
"04/26/2026","98.005","98.410","98.965","97.570","112.15K","-0.36%"
"04/19/2026","98.364","98.230","98.775","97.815","108.25K","0.48%"
"04/12/2026","97.898","98.920","98.990","97.425","100.63K","-0.55%"
"04/05/2026","98.439","99.995","100.135","98.130","144.09K","-1.42%"
"03/29/2026","99.855","100.090","100.500","99.095","117.06K","-0.13%"
"03/22/2026","99.982","99.425","100.045","98.655","149.19K","0.53%"
"03/15/2026","99.459","100.255","100.330","98.765","93.97K","-0.90%"
"03/08/2026","100.362","99.320","100.530","98.475","136.67K","1.40%"
"03/01/2026","98.979","97.820","99.650","97.715","181.74K","1.45%"
"02/22/2026","97.565","97.655","97.945","97.275","80.32K","-0.17%"
"02/15/2026","97.729","96.775","98.015","96.770","68.77K","0.94%"
"02/08/2026","96.819","97.610","97.645","96.370","84.77K","-0.70%"
"02/01/2026","97.506","96.950","97.870","96.885","85.75K","0.67%"
"01/25/2026","96.859","96.890","97.160","95.360","180.28K","-0.56%"
"01/18/2026","97.404","99.300","99.310","97.235","104.14K","-1.81%"
"01/11/2026","99.201","98.900","99.290","98.415","76.30K","0.31%"
"01/04/2026","98.890","98.210","99.220","97.885","64.95K","0.75%"
"12/28/2025","98.158","97.790","98.225","97.605","33.46K","0.47%"
"12/21/2025","97.698","98.280","98.370","97.425","36.82K","-0.56%"
"12/14/2025","98.252","98.395","98.460","97.505","56.92K","-0.14%"
"12/07/2025","98.394","98.960","99.305","98.135","86.66K","-0.58%"
"11/30/2025","98.968","99.455","99.515","98.720","74.24K","-0.44%"
"11/23/2025","99.408","100.160","100.230","99.325","63.45K","-0.36%"
"11/16/2025","99.763","98.855","99.885","98.840","0.96K","0.57%"
"11/09/2025","99.199","99.490","99.615","98.865","60.42K","-0.27%"
"11/02/2025","99.471","99.615","100.215","99.255","79.00K","-0.16%"
"10/26/2025","99.630","98.750","99.675","98.350","85.26K","0.89%"
"10/19/2025","98.747","98.315","98.940","97.985","54.19K","0.57%"
"10/12/2025","98.192","98.765","99.235","97.805","78.40K","-0.55%"
"10/05/2025","98.732","97.640","99.305","97.640","98.31K","1.35%"
"09/28/2025","97.415","97.875","97.875","97.130","89.69K","-0.42%"
"09/21/2025","97.824","97.285","98.265","96.835","88.37K","0.57%"
"09/14/2025","97.270","97.690","97.690","95.845","96.43K","-0.27%"
"09/07/2025","97.536","97.810","98.325","97.215","105.17K","-0.20%"
"08/31/2025","97.728","97.750","98.575","97.315","101.66K","0.04%"
"08/24/2025","97.690","97.575","98.640","97.575","85.19K","0.48%"
"08/17/2025","97.219","97.315","98.310","97.080","1.71K","-0.50%"
"08/10/2025","97.712","98.090","98.500","97.445","105.06K","-0.30%"
"08/03/2025","98.009","98.505","98.890","97.740","113.56K","-0.93%"
"07/27/2025","98.930","97.370","100.055","97.255","137.78K","1.57%"
"07/20/2025","97.399","98.120","98.235","96.860","102.53K","-0.81%"
"07/13/2025","98.198","97.630","98.665","97.310","110.17K","0.69%"
"07/06/2025","97.529","96.650","97.650","96.555","81.04K","0.73%"
"06/29/2025","96.822","96.850","97.065","96.000","87.48K","-0.22%"
"06/22/2025","97.031","98.650","99.015","96.605","121.00K","-1.27%"
"06/15/2025","98.282","98.305","98.755","97.570","87.88K","0.11%"
"06/08/2025","98.176","99.150","99.365","97.590","114.83K","-0.97%"
"06/01/2025","99.142","99.305","99.355","98.295","110.53K","-0.12%"
"05/25/2025","99.259","98.950","100.415","98.590","104.01K","0.68%"
"05/18/2025","98.590","100.200","100.315","98.545","0.93K","-2.33%"
"05/11/2025","100.946","100.620","101.815","100.105","103.64K","0.78%"
"05/04/2025","100.168","99.865","100.710","98.985","99.24K","0.33%"
"04/27/2025","99.840","99.350","100.190","98.670","103.62K","0.59%"
"04/20/2025","99.254","99.035","99.740","97.680","137.64K","0.13%"
"04/13/2025","99.129","99.750","100.025","98.935","120.02K","-0.76%"
"04/06/2025","99.892","102.755","103.310","98.800","300.80K","-2.80%"
"03/30/2025","102.768","103.755","104.070","100.975","164.36K","-0.91%"
"03/23/2025","103.709","103.765","104.340","103.485","92.51K","-0.03%"
"03/16/2025","103.744","103.740","103.890","102.830","68.62K","0.04%"
"03/09/2025","103.705","103.790","104.210","103.195","105.84K","-0.10%"
"03/02/2025","103.812","107.345","107.360","103.430","158.72K","-3.48%"
"02/23/2025","107.558","106.460","107.595","106.035","91.95K","0.98%"
"02/16/2025","106.519","106.660","107.275","106.235","71.76K","-0.05%"
"02/09/2025","106.575","108.265","108.420","106.445","111.39K","-1.25%"
"02/02/2025","107.928","109.225","109.750","107.150","138.71K","-0.27%"
"01/26/2025","108.217","107.350","108.400","106.775","103.39K","0.91%"
"01/19/2025","107.245","109.235","109.320","107.020","106.96K","-1.79%"
"01/12/2025","109.203","109.490","110.015","108.420","120.70K","-0.26%"
"01/05/2025","109.487","108.780","109.825","107.575","104.05K","0.63%"
"12/29/2024","108.798","107.795","109.365","107.545","71.54K","0.93%"
"12/22/2024","107.792","107.525","108.075","107.450","42.55K","0.41%"
"12/15/2024","107.351","106.815","108.285","106.420","83.84K","0.33%"
"12/08/2024","106.993","105.965","107.180","105.780","92.69K","0.90%"
"12/01/2024","106.039","105.820","106.725","105.400","105.51K","0.20%"
"11/24/2024","105.828","106.975","107.470","105.595","92.49K","-1.21%"
"11/17/2024","107.127","106.295","107.680","105.700","1.04K","0.82%"
"11/10/2024","106.255","104.605","106.625","104.555","0.95K","1.64%"
"11/03/2024","104.545","103.525","104.985","102.995","0.39K","0.69%"
"10/27/2024","103.833","103.885","104.090","103.235","0.19K","0.07%"
"10/20/2024","103.762","103.000","104.025","102.920","0.11K","0.78%"
"10/13/2024","102.957","102.460","103.330","102.400","0.08K","0.60%"
"10/06/2024","102.342","102.015","102.525","101.785","0.12K","0.36%"
"09/29/2024","101.975","99.850","102.130","99.760","0.23K","2.10%"
"09/22/2024","99.879","100.395","100.465","99.660","0.06K","-0.31%"
"09/15/2024","100.193","100.780","100.820","99.750","15.22K","-0.59%"
"09/08/2024","100.788","100.750","101.480","100.530","72.34K","0.01%"
"09/01/2024","100.778","101.330","101.505","100.175","6.03K","-0.49%"
"08/25/2024","101.274","100.295","101.340","100.085","1.82K","1.01%"
"08/18/2024","100.261","101.985","101.985","100.160","1.47K","-1.68%"
"08/11/2024","101.972","102.725","102.795","101.780","0.27K","-0.64%"
"08/04/2024","102.632","102.635","103.005","101.720","0.43K","-0.04%"
"07/28/2024","102.668","103.720","104.165","102.590","0.74K","-0.98%"
"07/21/2024","103.684","103.555","103.890","103.475","0.26K","-0.06%"
"07/14/2024","103.742","103.610","103.810","102.990","0.27K","0.33%"
"07/07/2024","103.398","104.250","104.485","103.380","0.12K","-0.74%"
"06/30/2024","104.168","104.975","105.320","104.155","0.08K","-0.95%"
"06/23/2024","105.165","105.090","105.435","104.680","0.10K","0.10%"
"06/16/2024","105.063","105.175","105.280","104.525","11.52K","-0.10%"
"06/09/2024","105.167","104.630","105.425","103.850","96.43K","0.64%"
"06/02/2024","104.500","104.180","104.560","103.250","12.66K","0.24%"
"05/26/2024","104.247","104.245","104.730","103.880","1.68K","0.00%"
"05/19/2024","104.243","104.005","104.635","103.905","0.43K","0.30%"
"05/12/2024","103.935","104.815","104.865","103.590","0.65K","-0.82%"
"05/05/2024","104.790","104.620","105.230","104.440","0.44K","0.23%"
"04/28/2024","104.548","105.410","106.015","104.035","0.64K","-0.83%"
"04/21/2024","105.420","105.455","105.755","105.000","0.23K","-0.18%"
"04/14/2024","105.609","105.380","105.950","105.240","0.30K","0.16%"
"04/07/2024","105.442","103.845","105.490","103.455","0.45K","1.68%"
"03/31/2024","103.701","103.790","104.440","103.355","0.26K","-0.18%"
"03/24/2024","103.889","103.660","104.000","103.405","0.06K","0.06%"
"03/17/2024","103.822","103.060","103.780","102.500","8.86K","0.74%"
"03/10/2024","103.064","102.395","103.125","102.255","60.47K","0.71%"
"03/03/2024","102.333","103.425","103.535","101.950","7.08K","-1.06%"
"02/25/2024","103.429","103.500","103.850","103.200","0.75K","-0.06%"
"02/18/2024","103.489","103.745","103.950","102.800","0.59K","-0.32%"
"02/11/2024","103.817","103.515","104.490","103.200","0.38K","0.17%"
"02/04/2024","103.643","103.635","104.115","103.485","0.69K","0.20%"
"01/28/2024","103.436","103.045","103.540","102.390","0.35K","0.52%"
"01/21/2024","102.904","102.665","103.210","102.290","0.12K","0.15%"
"01/14/2024","102.749","101.900","103.110","101.835","0.16K","0.91%"
"01/07/2024","101.826","101.795","102.050","101.575","0.03K","0.02%"
"12/31/2023","101.804","100.790","102.275","100.790","0.08K","1.07%"
"12/24/2023","100.729","100.935","100.945","100.180","0.04K","-0.31%"
"12/17/2023","101.038","102.195","102.280","100.905","8.33K","-1.12%"
"12/10/2023","102.183","103.620","103.875","101.390","74.59K","-1.40%"
"12/03/2023","103.633","102.700","103.860","102.630","7.76K","0.79%"
"11/26/2023","102.820","102.955","103.260","102.010","1.91K","-0.11%"
"11/19/2023","102.934","103.460","103.705","102.705","0.47K","-0.47%"
"11/12/2023","103.425","105.330","105.330","103.395","0.31K","-1.81%"
"11/05/2023","105.335","104.600","105.500","104.345","0.40K","0.82%"
"10/29/2023","104.479","105.985","106.555","104.420","0.54K","-1.43%"
