"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2026","95.707","95.325","95.760","95.085","","0.80%"
"05/31/2026","94.950","94.975","95.800","94.733","","-0.06%"
"05/24/2026","95.010","95.355","95.798","94.961","","-0.72%"
"05/17/2026","95.700","96.170","96.965","95.685","","-0.28%"
"05/10/2026","95.970","94.955","96.144","94.885","","1.62%"
"05/03/2026","94.441","94.955","95.466","94.075","","-0.49%"
"04/26/2026","94.905","94.255","95.337","94.103","","0.69%"
"04/19/2026","94.250","92.710","94.313","92.631","","1.78%"
"04/12/2026","92.603","93.318","93.503","92.444","","-0.52%"
"04/05/2026","93.090","92.838","93.204","92.313","","0.41%"
"03/29/2026","92.710","93.048","95.220","92.614","","-2.19%"
"03/22/2026","94.782","93.743","94.988","92.911","","1.16%"
"03/15/2026","93.692","92.449","93.826","92.147","","1.24%"
"03/08/2026","92.540","92.330","92.572","91.674","","0.66%"
"03/01/2026","91.933","91.234","92.311","91.167","","0.94%"
"02/22/2026","91.076","90.765","91.142","90.680","","0.38%"
"02/15/2026","90.730","90.596","91.211","90.536","","0.19%"
"02/08/2026","90.555","90.518","90.846","90.373","","-0.05%"
"02/01/2026","90.596","91.778","92.023","90.022","","-1.20%"
"01/25/2026","91.694","91.531","92.220","91.418","","0.02%"
"01/18/2026","91.675","90.717","91.988","90.610","","1.06%"
"01/11/2026","90.709","90.257","90.891","89.983","","0.52%"
"01/04/2026","90.244","90.131","90.318","89.730","","0.26%"
"12/28/2025","90.014","89.837","90.255","89.687","","0.24%"
"12/21/2025","89.796","89.542","89.962","89.408","","0.24%"
"12/14/2025","89.577","90.550","91.082","89.255","","-1.11%"
"12/07/2025","90.584","89.962","90.652","89.763","","0.71%"
"11/30/2025","89.945","89.325","90.462","89.325","","0.66%"
"11/23/2025","89.357","89.527","89.538","88.979","","-0.32%"
"11/16/2025","89.641","88.705","89.734","88.416","","1.07%"
"11/09/2025","88.689","88.650","88.831","88.421","","0.03%"
"11/02/2025","88.665","88.722","88.806","88.332","","-0.12%"
"10/26/2025","88.769","87.786","88.814","87.785","","1.06%"
"10/19/2025","87.836","87.956","88.092","87.612","","-0.19%"
"10/12/2025","88.003","88.726","88.827","87.611","","-0.85%"
"10/05/2025","88.757","88.763","88.877","88.494","","0.02%"
"09/28/2025","88.735","88.661","88.886","88.578","","0.07%"
"09/21/2025","88.677","88.181","88.939","88.116","","0.65%"
"09/14/2025","88.100","88.279","88.343","87.662","","-0.20%"
"09/07/2025","88.277","88.153","88.499","87.922","","0.10%"
"08/31/2025","88.187","88.175","88.367","87.825","","0.01%"
"08/24/2025","88.174","87.310","88.313","87.274","","0.97%"
"08/17/2025","87.331","87.545","87.560","86.921","","-0.21%"
"08/10/2025","87.513","87.541","87.764","87.380","","0.03%"
"08/03/2025","87.489","87.284","87.977","87.155","","0.28%"
"07/27/2025","87.245","86.481","87.846","86.402","","0.86%"
"07/20/2025","86.503","86.134","86.641","86.132","","0.41%"
"07/13/2025","86.150","85.824","86.244","85.731","","0.38%"
"07/06/2025","85.825","85.575","86.043","85.533","","0.38%"
"06/29/2025","85.497","85.479","85.845","85.183","","0.05%"
"06/22/2025","85.455","86.788","86.871","85.422","","-1.30%"
"06/15/2025","86.580","86.149","86.916","85.782","","0.55%"
"06/08/2025","86.108","85.803","86.217","85.401","","0.38%"
"06/01/2025","85.786","85.504","86.045","85.292","","0.31%"
"05/25/2025","85.525","85.037","85.737","84.785","","0.38%"
"05/18/2025","85.200","85.463","86.115","85.111","","-0.35%"
"05/11/2025","85.500","84.695","85.741","84.592","","0.11%"
"05/04/2025","85.409","84.491","85.952","84.114","","1.04%"
"04/27/2025","84.527","85.382","85.420","83.765","","-1.00%"
"04/20/2025","85.385","85.378","85.671","85.025","","-0.08%"
"04/13/2025","85.457","86.036","86.110","85.313","","-0.86%"
"04/06/2025","86.200","85.611","86.751","85.568","","0.82%"
"03/30/2025","85.502","85.459","85.813","84.932","","-0.04%"
"03/23/2025","85.534","85.990","86.046","85.403","","-0.53%"
"03/16/2025","85.990","86.957","86.973","85.916","","-1.09%"
"03/09/2025","86.941","87.139","87.396","86.871","","-0.18%"
"03/02/2025","87.100","87.449","87.449","86.854","","-0.42%"
"02/23/2025","87.466","86.655","87.559","86.506","","1.03%"
"02/16/2025","86.572","86.676","86.987","86.456","","-0.06%"
"02/09/2025","86.620","87.994","87.997","86.327","","-1.15%"
"02/02/2025","87.627","86.916","87.676","86.892","","1.26%"
"01/26/2025","86.536","86.244","86.682","86.234","","0.39%"
"01/19/2025","86.200","86.564","86.624","86.150","","-0.43%"
"01/12/2025","86.571","86.178","86.729","86.094","","0.47%"
"01/05/2025","86.165","85.816","86.195","85.601","","0.47%"
"12/29/2024","85.761","85.437","85.836","85.426","","0.44%"
"12/22/2024","85.388","84.960","85.823","84.925","","0.52%"
"12/15/2024","84.947","84.846","85.149","84.794","","0.19%"
"12/08/2024","84.782","84.704","84.921","84.675","","0.13%"
"12/01/2024","84.668","84.572","84.801","84.529","","0.13%"
"11/24/2024","84.559","84.408","84.640","84.225","","0.16%"
"11/17/2024","84.426","84.444","84.530","84.340","","0.00%"
"11/10/2024","84.424","84.375","84.495","84.354","","0.03%"
"11/03/2024","84.395","84.101","84.400","84.083","","0.37%"
"10/27/2024","84.080","84.081","84.115","84.046","","-0.02%"
"10/20/2024","84.095","84.083","84.111","84.056","","0.04%"
"10/13/2024","84.065","84.083","84.100","84.004","","-0.04%"
"10/06/2024","84.101","83.978","84.101","83.888","","0.09%"
"09/29/2024","84.023","83.667","84.023","83.664","","0.37%"
"09/22/2024","83.710","83.476","83.715","83.435","","0.27%"
"09/15/2024","83.485","83.871","83.914","83.453","","-0.47%"
"09/08/2024","83.880","83.940","83.991","83.827","","-0.13%"
"09/01/2024","83.985","83.870","83.992","83.845","","0.14%"
"08/25/2024","83.867","83.801","83.967","83.776","","0.07%"
"08/18/2024","83.809","83.860","83.965","83.711","","-0.08%"
